name	media type	episode count	dates aired	rating
High School DxD	TV	12	2012-01-06 00:00:00	7.56
High School DxD Specials	Special	6	2012-03-21 00:00:00	7.37
High School DxD OVA	OVA	2	2012-09-06 00:00:00	7.42
High School DxD New	TV	12	2013-07-07 00:00:00	7.72
High School DxD New	TV	12	2013-07-07 00:00:00	7.72
High School DxD New: Oppai, Tsutsumimasu!	OVA	1	2015-03-10 00:00:00	7.41
High School DxD BorN	TV	12	2015-04-04 00:00:00	7.62
High School DxD BorN: Ishibumi Ichiei Kanzen Kanshuu! Mousou Bakuyou Kaijo Original Video	Special	6	2015-07-24 00:00:00	7.43
High School DxD BorN: Yomigaeranai Fushichou	OVA	1	2015-12-09 00:00:00	7.57
High School DxD Hero: Taiikukan-ura no Holy	Special	1	2018-04-10 00:00:00	6.95
High School DxD Hero	TV	12	2018-04-17 00:00:00	7.49
High School DxD	Novel	NULL	NULL	8.36
High School DxD	Manga	NULL	NULL	7.67
High School DxD: Akuma no Oshigoto	Manga	NULL	NULL	7.75
High School DxD: Asia & Koneko no Himitsu no Keiyaku!?	Manga	NULL	NULL	7.33
High School DxD DX	Novel	NULL	NULL	8.22
High School DxD EX	Novel	NULL	NULL	8.06
Daten no Inugami: Slash Døg - High School DxD Universe	Novel	NULL	NULL	8.00
Slash/Dog	Novel	NULL	NULL	7.57
Shin High School DxD	Novel	NULL	NULL	8.44
